Vocabulary,Code,Display Name,Accountable Owner,Status,Effective Date,Notes
Zone,00_Group_Repository_Control,Group repository control,Records Management / IT,ACTIVE,[To be set on approval],Governed top-level zone
Zone,01_Enterprise_Governance_and_Strategy,Enterprise governance and strategy,Records Management / IT,ACTIVE,[To be set on approval],Governed top-level zone
Zone,02_GQMS_Controlled_Repository,GQMS controlled repository,Records Management / IT,ACTIVE,[To be set on approval],Governed top-level zone
Zone,03_Business_Functions_and_Operations,Business functions and operations,Records Management / IT,ACTIVE,[To be set on approval],Governed top-level zone
Zone,04_Products_Brands_and_Dossiers,"Products, brands and dossiers",Records Management / IT,ACTIVE,[To be set on approval],Governed top-level zone
Zone,05_Markets_Expansion_and_Countries,"Markets, expansion and countries",Records Management / IT,ACTIVE,[To be set on approval],Governed top-level zone
Zone,06_Clients_Partners_and_Deals,"Clients, partners and deals",Records Management / IT,ACTIVE,[To be set on approval],Governed top-level zone
Zone,07_Programmes_and_Projects,Programmes and projects,Records Management / IT,ACTIVE,[To be set on approval],Governed top-level zone
Zone,08_Knowledge_Templates_and_Reference,"Knowledge, templates and reference",Records Management / IT,ACTIVE,[To be set on approval],Governed top-level zone
Zone,09_Restricted_Corporate_Records,Restricted corporate records,Records Management / IT,ACTIVE,[To be set on approval],Governed top-level zone
Zone,95_Records_Archive,Records archive,Records Management / IT,ACTIVE,[To be set on approval],Governed top-level zone
Zone,98_Legacy_Migration,Legacy migration,Records Management / IT,ACTIVE,[To be set on approval],Governed top-level zone
Zone,99_Inbox_and_Quarantine,Inbox and quarantine,Records Management / IT,ACTIVE,[To be set on approval],Governed top-level zone
Entity,00_Group_Shared,"Group-level, no single legal owner",Legal / Finance / HR,ACTIVE,[To be set on approval],Legal-entity container. Codes are never reassigned.
Entity,10_GMG_AG_CH,Grand Medical Group AG (CH),Legal / Finance / HR,ACTIVE,[To be set on approval],Legal-entity container. Codes are never reassigned.
Entity,20_Setonda_SL_ES,Setonda S.L. (ES),Legal / Finance / HR,RETIRED — CODE PERMANENTLY RESERVED,[To be set on approval],Legal-entity container. Codes are never reassigned.
Entity,30_GM_Poland_PL,Grand Medical Poland Sp. z o.o. (PL),Legal / Finance / HR,ACTIVE,[To be set on approval],Legal-entity container. Codes are never reassigned.
Entity,40_Miquel_y_Garriga_SL_ES,Miquel y Garriga S.L. (ES),Legal / Finance / HR,ACTIVE,[To be set on approval],Legal-entity container. Codes are never reassigned.
Entity,50_GMG_Ilaclari_LTD_TR,Grand Medical Ilaclari Ltd (TR),Legal / Finance / HR,ACTIVE,[To be set on approval],Legal-entity container. Codes are never reassigned.
Entity,80_Cross_Entity,Intercompany,Legal / Finance / HR,ACTIVE,[To be set on approval],Legal-entity container. Codes are never reassigned.
Entity,90_External_or_Joint_Ventures,External / JV,Legal / Finance / HR,ACTIVE,[To be set on approval],Legal-entity container. Codes are never reassigned.
Domain,00_Governance,Governance,Group Quality Director,ACTIVE,[To be set on approval],GQMS domain
Domain,01_QMS,Quality management system,Group Quality Director,ACTIVE,[To be set on approval],GQMS domain
Domain,02_GMP,Good manufacturing practice,Group Quality Director,ACTIVE,[To be set on approval],GQMS domain
Domain,03_GDP,Good distribution practice,Group Quality Director,ACTIVE,[To be set on approval],GQMS domain
Domain,04_PV,Pharmacovigilance,Group Quality Director,ACTIVE,[To be set on approval],GQMS domain
Domain,05_RAF,Regulatory affairs,Group Quality Director,ACTIVE,[To be set on approval],GQMS domain
Domain,06_NUT,Nutraceuticals,Group Quality Director,ACTIVE,[To be set on approval],GQMS domain
Domain,07_MDV,Medical devices,Group Quality Director,ACTIVE,[To be set on approval],GQMS domain
Domain,08_CSV,Computerised system validation,Group Quality Director,ACTIVE,[To be set on approval],GQMS domain
Domain,09_LAB,Laboratory,Group Quality Director,ACTIVE,[To be set on approval],GQMS domain
Domain,10_RND,Research and development,Group Quality Director,ACTIVE,[To be set on approval],GQMS domain
Domain,11_GLP,Good laboratory practice,Group Quality Director,ACTIVE,[To be set on approval],GQMS domain
Domain,12_GCP,Good clinical practice,Group Quality Director,ACTIVE,[To be set on approval],GQMS domain
Domain,13_GCLP,Good clinical laboratory practice,Group Quality Director,ACTIVE,[To be set on approval],GQMS domain
Domain,14_BIO,Biologicals,Group Quality Director,ACTIVE,[To be set on approval],GQMS domain
Domain,15_ATMP,Advanced therapy medicinal products,Group Quality Director,ACTIVE,[To be set on approval],GQMS domain
Domain,16_STE,Sterile products,Group Quality Director,ACTIVE,[To be set on approval],GQMS domain
Domain,17_API,Active pharmaceutical ingredients,Group Quality Director,ACTIVE,[To be set on approval],GQMS domain
Domain,18_DQ,Data quality and integrity,Group Quality Director,ACTIVE,[To be set on approval],GQMS domain
Container,30_BPG,Business process governance,Group Quality Director,ACTIVE,[To be set on approval],Container for business functions
Function,BCM,Business continuity management,Function owner / GQD,ACTIVE,[To be set on approval],BPG business function
Function,CGV,Corporate governance,Function owner / GQD,ACTIVE,[To be set on approval],BPG business function
