full_path,folder_name,purpose,folder_type,department_domain,owning_departments,owner_function,example_documents,access_profile,retention_class,change_control_required,source_of_truth,controlled_by_gqms,legacy_code,provisioning_wave,provisioning_order
GMG-QMS-Controlled-Repository,GMG-QMS-Controlled-Repository,Root of the controlled quality management system repository. Holds controlled documents only; operational business records are not filed here.,repository_root,,QA Documentation,GQD,,GQMS-Controlled,RET-01-CONTROLLED-DOC,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,1,1
GMG-QMS-Controlled-Repository/00_Governance,00_Governance,"Enterprise quality governance: quality manual, group policies and the PQS framework.",domain,QMS,QA Documentation; GQD,GQD,GMG-QMS-MAN-0001_v1.10_DRAFT_2026-07-16.docx — Group Quality Manual | GMG-QMS-MTX-0001_v0.1_DRAFT_2026-07-15.docx — Group Quality Governance Matrix | GMG-QMS-POL-0001_v0.2_DRAFT_2026-07-15.docx — Group Quality Policy,GQMS-Controlled,RET-01-CONTROLLED-DOC,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,2,2
GMG-QMS-Controlled-Repository/00_Governance/MAN,MAN,Manuals — system or quality-system descriptions.,document_type,QMS,QA Documentation; GQD,GQD,GMG-QMS-MAN-0001_v1.10_DRAFT_2026-07-16.docx — Group Quality Manual,GQMS-Controlled,RET-01-CONTROLLED-DOC,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,3
GMG-QMS-Controlled-Repository/00_Governance/MTX,MTX,"Matrices — governance, RACI, training and control matrices.",document_type,QMS,QA Documentation; GQD,GQD,GMG-QMS-MTX-0001_v0.1_DRAFT_2026-07-15.docx — Group Quality Governance Matrix,GQMS-Controlled,RET-01-CONTROLLED-DOC,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,4
GMG-QMS-Controlled-Repository/00_Governance/POL,POL,Policies — executive-level mandatory commitments.,document_type,QMS,QA Documentation; GQD,GQD,GMG-QMS-POL-0001_v0.2_DRAFT_2026-07-15.docx — Group Quality Policy,GQMS-Controlled,RET-01-CONTROLLED-DOC,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,5
GMG-QMS-Controlled-Repository/01_QMS,01_QMS,"Core cross-QMS processes: document control, training, CAPA, deviation, change control, internal audit.",domain,QMS,QA Documentation,GQD,GMG-QMS-FRM-0001_v1.0_DRAFT_2026-07-11.docx — Document Request / Revision / Retirement | GMG-QMS-FRM-0002_v1.0_DRAFT_2026-07-11.docx — Impact Assessment and Reviewer Matrix | GMG-QMS-FRM-0003-BATCH-01_v0.3_DRAFT_2026-08-08.xlsx — Training Impact Assessment Form,GQMS-Controlled,RET-01-CONTROLLED-DOC,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,2,6
GMG-QMS-Controlled-Repository/01_QMS/FRM,FRM,Controlled blank forms that generate quality records when completed.,document_type,QMS,QA Documentation,GQD,GMG-QMS-FRM-0001_v1.0_DRAFT_2026-07-11.docx — Document Request / Revision / Retirement | GMG-QMS-FRM-0002_v1.0_DRAFT_2026-07-11.docx — Impact Assessment and Reviewer Matrix | GMG-QMS-FRM-0003-BATCH-01_v0.3_DRAFT_2026-08-08.xlsx — Training Impact Assessment Form,GQMS-Controlled,RET-01-CONTROLLED-DOC,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,7
GMG-QMS-Controlled-Repository/01_QMS/LOG,LOG,Registers and logs — running controlled lists.,document_type,QMS,QA Documentation,GQD,GMG-QMS-LOG-0003_v0.3_DRAFT_2026-07-13.xlsx — External Document Register,GQMS-Controlled,RET-01-CONTROLLED-DOC,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,8
GMG-QMS-Controlled-Repository/01_QMS/MTX,MTX,"Matrices — governance, RACI, training and control matrices.",document_type,QMS,QA Documentation,GQD,GMG-QMS-MTX-0002_v1.0_DRAFT_2026-07-11.docx — R&D - Supply Chain Interface Matrix | GMG-QMS-MTX-0003_v1.4_DRAFT_2026-07-16.xlsx — Training Matrix | GMG-QMS-MTX-0004_v1.3_DRAFT_2026-07-14.xlsx — Register Access and Role Matrix,GQMS-Controlled,RET-01-CONTROLLED-DOC,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,9
GMG-QMS-Controlled-Repository/01_QMS/PLN,PLN,Controlled plans with a defined timeframe and deliverables.,document_type,QMS,QA Documentation,GQD,GMG-QMS-PLN-0001_v0.6_DRAFT_2026-07-14.xlsx — SOP-0001 Implementation Plan and Tracker | GMG-QMS-PLN-0002_v1.0_DRAFT_2026-07-11.docx — GQMS Documentation Preparation Plan | GMG-QMS-PLN-0003_v1.0_DRAFT_2026-07-11.docx — Mandatory Group SOP Plan,GQMS-Controlled,RET-01-CONTROLLED-DOC,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,10
GMG-QMS-Controlled-Repository/01_QMS/RSK,RSK,Controlled risk assessments.,document_type,QMS,QA Documentation,GQD,GMG-QMS-RSK-0001_v0.2_DRAFT_2026-07-11.docx — Segregation of Duties Risk Assessment,GQMS-Controlled,RET-01-CONTROLLED-DOC,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,11
GMG-QMS-Controlled-Repository/01_QMS/SOP,SOP,"Standard operating procedures — who does what, when and with which record.",document_type,QMS,QA Documentation,GQD,"GMG-QMS-SOP-0001_v0.34_DRAFT_2026-07-18.docx — Document Control | GMG-QMS-SOP-0002_v0.5_DRAFT_2026-07-11.docx — Record Control and Good Documentation Practice | GMG-QMS-SOP-0003_v0.10_DRAFT_2026-07-18.docx — Training, Qualification and Competency Management",GQMS-Controlled,RET-01-CONTROLLED-DOC,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,12
