Technical Group,Permission Profile,Entity Scope,Folders Bound,Membership Approver / Owner Role,Directory Object,Members,Status
GMG-REPO-ROOT-GOVERNANCE-GRP,PS-ROOT-GOVERNANCE,GROUP,1,Records Management / IT,security group (platform-neutral),[TBC — populate from JML],NOT PROVISIONED
GMG-REPO-REPO-CONTROL-GRP,PS-REPO-CONTROL,GROUP,10,Records Management / IT / QA Documentation,security group (platform-neutral),[TBC — populate from JML],NOT PROVISIONED
GMG-REPO-MGMT-RESTRICTED-GRP,PS-MGMT-RESTRICTED,GROUP,19,CEO / Corporate Secretary / Entity Management,security group (platform-neutral),[TBC — populate from JML],NOT PROVISIONED
GMG-REPO-MGMT-RESTRICTED-CH,PS-MGMT-RESTRICTED,10_GMG_AG_CH,11,CEO / Corporate Secretary / Entity Management,security group (platform-neutral),[TBC — populate from JML],NOT PROVISIONED
GMG-REPO-MGMT-RESTRICTED-PL,PS-MGMT-RESTRICTED,30_GM_Poland_PL,11,CEO / Corporate Secretary / Entity Management,security group (platform-neutral),[TBC — populate from JML],NOT PROVISIONED
GMG-REPO-MGMT-RESTRICTED-MYG,PS-MGMT-RESTRICTED,40_Miquel_y_Garriga_SL_ES,11,CEO / Corporate Secretary / Entity Management,security group (platform-neutral),[TBC — populate from JML],NOT PROVISIONED
GMG-REPO-MGMT-RESTRICTED-TR,PS-MGMT-RESTRICTED,50_GMG_Ilaclari_LTD_TR,11,CEO / Corporate Secretary / Entity Management,security group (platform-neutral),[TBC — populate from JML],NOT PROVISIONED
GMG-REPO-MGMT-RESTRICTED-XE,PS-MGMT-RESTRICTED,80_Cross_Entity,11,CEO / Corporate Secretary / Entity Management,security group (platform-neutral),[TBC — populate from JML],NOT PROVISIONED
GMG-REPO-MGMT-RESTRICTED-EXT,PS-MGMT-RESTRICTED,90_External_or_Joint_Ventures,11,CEO / Corporate Secretary / Entity Management,security group (platform-neutral),[TBC — populate from JML],NOT PROVISIONED
GMG-REPO-GQMS-DOCUMENTS-GRP,PS-GQMS-DOCUMENTS,00_Group_Shared,2784,QA Documentation,security group (platform-neutral),[TBC — populate from JML],NOT PROVISIONED
GMG-REPO-GQMS-RECORDS-GRP,PS-GQMS-RECORDS,00_Group_Shared,16,Company QA / Process Owner,security group (platform-neutral),[TBC — populate from JML],NOT PROVISIONED
