"URS ID","Requirement","Priority","Verification Method","Linked Protocol Test","New Test Required","Status"
"URS-010","The system shall hold each controlled vocabulary as a configurable reference table, not as hard-coded values or folder names.","M","Installation qualification","IQ-03","No","NOT EXECUTED"
"URS-011","Each vocabulary entry shall carry a code, a display name, an owner, a status and an effective date.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-012","Each vocabulary shall be version-controlled, and every change to it shall be subject to change control and recorded in the audit trail.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-013","Where a vocabulary exists for a field, the system shall not permit free-text entry in that field.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-014","The system shall support initial import of all vocabularies from GMG-QMS-LOG-0007 and shall reconcile against it on demand.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-015","The system shall enforce that a TYPE code is valid only for the domains in which it is approved. TYPE sets differ by domain and are not universal.","M","Installation qualification","IQ-03","No","NOT EXECUTED"
"URS-016","An entity code, once allocated, shall never be reassigned to a different legal entity. Retiring an entity shall retire its code permanently; the code ","M","Installation qualification","IQ-04","No","NOT EXECUTED"
"URS-016a","A new legal entity shall receive a new stable code. The system shall reject allocation of a code that is retired or in use.","M","Installation qualification","IQ-04","No","NOT EXECUTED"
"URS-016b","The system shall record entity status — active, retired — with effective dates, and shall resolve historical references to a retired entity without am","M","Installation qualification","IQ-04","No","NOT EXECUTED"
"URS-017","The system shall not permit two vocabulary entries in the same set to share a code, or to differ only by case or by leading or trailing separators.","M","Installation qualification","IQ-05","No","NOT EXECUTED"
"URS-020","The storage location of an object shall not encode its classification. Entity, domain, type, lifecycle state and record class shall be metadata attrib","M","Installation qualification","IQ-02","No","NOT EXECUTED"
"URS-021","The system shall derive a display path and an export path from metadata on demand.","M","Installation qualification","IQ-02","No","NOT EXECUTED"
"URS-022","Changing a classification attribute shall not move, copy or duplicate the stored object, and shall not invalidate any link or reference to it.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-023","Links and references to an object shall remain valid for the life of the object regardless of any change to its classification or lifecycle state.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-024","The system shall generate filesystem-compatible export paths with a configurable root, and shall warn where a generated absolute path would exceed 255","M","Installation qualification","IQ-07","No","NOT EXECUTED"
"URS-025","Export path segments shall be restricted to ASCII letters, digits, hyphen and underscore. Full Unicode shall be supported in metadata and in display n","M","Installation qualification","IQ-05","No","NOT EXECUTED"
"URS-026","The system shall be capable of producing a complete filesystem export of any scope, reproducing the approved folder topology, for archive or regulator","S","Design review / supplier evidence","—","YES","NOT EXECUTED"
"URS-030","Lifecycle shall be an attribute of the document and shall be changed by a state transition, never by moving or copying a file.","M","Operational qualification","OQ-03","No","NOT EXECUTED"
