ClaimId,Document,Version,Claim,CodeRuntimeEvidence,ActualState,Verdict,Severity,RequiredCorrection
DC-01,AGR-0001,v0.4,"validated shared instance / the validated Di10-PV database","Di10-PV=brand name (login.cshtml, GetGoogleContactsHandler ApplicationName); no DB named Di10-PV; no validation package",Safety data in single Mongo PvOrganization DB; host-based tenant; no validation evidence,UNPROVEN,High,"Remove 'validated' or cite QMS validation evidence; name the store correctly"
DC-02,RSK-0001,v0.4,"two MAHs share the Di10-PV database","Tenant isolation via TenantId string + host-based middleware","Two MAHs may share same physical Mongo with separate TenantId; not a shared validated instance",PARTIALLY_TRUE,High,"Clarify shared-DB vs shared-validated-instance vs logical tenant separation"
DC-03,SOP-0015,v0.3,"reconciliation performed against the validated Di10-PV database","Code reconciliation = LCPPV monthly questionnaire only","No db-to-db case reconciliation exists in code",FALSE,High,"Define the real reconciliation sources; do not conflate with LCPPV survey"
DC-04,MTX-0006,v0.3,"Single validated safety database of record for both systems","Single PvOrganization Mongo DB holds safety data; no validation evidence; 'both systems' undefined",One logical safety store exists but not validated,UNPROVEN,High,"Prove or drop 'validated'; define 'both systems'"
DC-05,FRM-0008,v0.1,"Source of truth - reconcile against the validated Di10-PV database","Same; reconcile mechanism in code is LCPPV survey",SoT could be PvOrganization DB but validated/reconcile claim unproven,UNPROVEN,Medium-High,"Clarify SoT; fix validated/reconcile language"
DC-06,SOP-0003,v0.4,"No case exists only in a spreadsheet tracker + Di10-PV is EU KPI source","Cases persisted in Mongo; but no KPI/read-model in code",Cases in DB (spreadsheet claim partly supported) but no KPI engine,PARTIALLY_TRUE,Medium,"State KPI engine absent in code; define EU KPI generation"
DC-07,SOP-0001,v0.7,"spreadsheet claim + Turkey oversight of the standalone FSAD","FSAD=0 matches in code; no standalone Turkish system in code",FSAD/standalone TR system not present in these repos,CANNOT_VERIFY,High,"Document what FSAD is and where; state clearly if out-of-code"
DC-08,PLN-0003,v0.2,"audit programme covers the shared safety database (Di10-PV) for both systems","No audit trail in code (AuditTrail/AuditLog=0)",Audit-programme claim contradicts code audit absence,INTERNALLY_CONTRADICTORY,High,"Acknowledge no code audit trail; redefine audit scope"
DC-09,AGR-0005,v0.1,"Turkish MAH operates a standalone local Turkish system with its own local master file","No standalone TR system/master-file in code",Not evidenced in these repos,CANNOT_VERIFY,Medium,"Document external system/master-file or correct claim"
DC-10,LOG-0001,v0.7,"Replace the Excel tracker with the validated Di10-PV database","Di10-PV=brand; DB not validated; no Excel->DB automation in code",Cases can live in DB but 'validated' unproven,UNPROVEN,Medium-High,"Remove 'validated'; evidence the Excel retirement process"
DC-11,cross-document,-,"'Di10-PV' used consistently as a validated database","In code Di10-PV is only a brand; 5 separate DBs; no validation; reconciliation=survey; FSAD absent","'Di10-PV' used inconsistently as application/deployment/database across docs",INTERNALLY_CONTRADICTORY,High,"Pick one definition: Di10-PV=application brand; name safety store separately"
