document_uid,document_code,title,gqms_domain,gqms_type,erp_document_type,version,status,criticality,owner,effective_date,review_cycle,folder_id,folder_path,is_mandatory_group_sop,linkable_in_erp,link_blocked_reason
UID-0000161,GMG-GMP-TPL-0001,Master Formula Record Template,GMP,TPL,Template,V1.0,Draft,Major,Site QA / QP,TBD,24 months,GQMS-02-TPL,02_GMP/TPL,,yes,
UID-0000200,GMG-PV-CHK-0001,GQMS Readiness Check,PV,CHK,Form,V0.8,Draft,Major,QPPV,TBD,24 months,GQMS-04-CHK,04_PV/CHK,,yes,
UID-0000201,GMG-PV-LOG-0001,Legacy Document Mapping and Gap Register,PV,LOG,Register,V0.9,Draft,Critical,QPPV,TBD,24 months,GQMS-04-LOG,04_PV/LOG,,yes,
UID-0000022,GMG-PV-LST-0001,Local PV Contact List,PV,LST,Register,V0.10,Draft,Major,QPPV,TBD,24 months,PROVISIONAL-028,04_PV/LST,,yes,
UID-0000203,GMG-PV-MTX-0001,Country AE / Complaint / Promotional Ownership Matrix,PV,MTX,Matrix,V0.9,Draft,Critical,QPPV,TBD,24 months,GQMS-04-MTX,04_PV/MTX,,yes,
UID-0000202,GMG-PV-PLN-0001,PV Quality System Gap Analysis and Document Plan,PV,PLN,Other,V0.1,Draft,Major,QPPV,TBD,24 months,GQMS-04-PLN,04_PV/PLN,,yes,
UID-0000004,GMG-QMS-FRM-0001,Document Request / Revision / Retirement,QMS,FRM,Form,V1.0,Draft,Major,GQD / QA Documentation,TBD,24 months,GQMS-01-FRM,01_QMS/FRM,,yes,
UID-0000005,GMG-QMS-FRM-0002,Impact Assessment and Reviewer Matrix,QMS,FRM,Form,V1.0,Draft,Major,GQD / QA Documentation,TBD,24 months,GQMS-01-FRM,01_QMS/FRM,,yes,
UID-0000024,GMG-QMS-FRM-0007,Interim Repository Approval Record,QMS,FRM,Form,V0.1,Draft,Major,GQD / QA Documentation,TBD,24 months,GQMS-01-FRM,01_QMS/FRM,,yes,
UID-0000170,GMG-QMS-FRM-0010,Supplier Qualification Request and Risk Classification,QMS,FRM,Form,V1.0,Draft,Major,GQD / QA Documentation,TBD,24 months,GQMS-01-FRM,01_QMS/FRM,,yes,
UID-0000172,GMG-QMS-FRM-0011,Supplier and Third-Party Questionnaire,QMS,FRM,Form,V1.0,Draft,Major,GQD / QA Documentation,TBD,24 months,GQMS-01-FRM,01_QMS/FRM,,yes,
UID-0000171,GMG-QMS-FRM-0012,Supplier Qualification File Checklist,QMS,FRM,Form,V1.0,Draft,Major,GQD / QA Documentation,TBD,24 months,GQMS-01-FRM,01_QMS/FRM,,yes,
UID-0000175,GMG-QMS-FRM-0015,Qualification Decision / Certificate,QMS,FRM,Form,V1.0,Draft,Major,GQD / QA Documentation,TBD,24 months,GQMS-01-FRM,01_QMS/FRM,,yes,
UID-0000162,GMG-QMS-FRM-0016,Material Documentation Checklist,QMS,FRM,Form,V1.0,Draft,Major,GQD / QA Documentation,TBD,24 months,GQMS-01-FRM,01_QMS/FRM,,yes,
UID-0000163,GMG-QMS-FRM-0020,Complaint / Adverse Event Intake Form,QMS,FRM,Form,V1.1,Draft,Major,GQD / QA Documentation,TBD,24 months,GQMS-01-FRM,01_QMS/FRM,,yes,
UID-0000181,GMG-QMS-FRM-0021,Independent Technical Review Record,QMS,FRM,Form,V1.0,Draft,Major,GQD / QA Documentation,TBD,24 months,GQMS-01-FRM,01_QMS/FRM,,yes,
