Profile ID,Scope,Read,Create / Add,Modify / Correct,Delete / Dispose,Approve / Transition,External Share,Review / Test,Accountable Owner,Status
PS-ROOT-GOVERNANCE,Enterprise root administration,Authorized users,Records Management/IT only,Controlled technical changes only,No routine deletion,Steering approval,No external sharing,Quarterly topology review,Records Management / IT,PENDING
PS-ROOT-READ,Root README and navigation,All authorized repository users,No,No,No,Records Management publishes,No external sharing,Annual/when changed,Records Management,PENDING
PS-REGISTER-READ,Registers required for authoring/filing,All authorized authors and filers,Register custodian only,Custodian with audit trail,No routine deletion,Designated approver,No external sharing,Annual access review,QA Documentation / Register Custodian,PENDING
PS-GQMS-DOCUMENTS,Controlled-document lifecycle,Authorized readers; broader read for Effective,Authors create drafts only,Review workflow; QA Documentation controls transitions,No routine deletion,Approved role per criticality,Time-limited approved sharing only,Annual + lifecycle tests,QA Documentation / GQD,PENDING
PS-GQMS-RECORDS,Executed quality records,Authorized process/quality roles,Authorized originator create/append,No overwrite of completed record; controlled correction only,No routine deletion,Record approval per SOP,Highly restricted external sharing,Annual + negative tests,Company QA + Process Owner / GQD oversight,PENDING
PS-PV-RESTRICTED,PV administrative/quality interfaces,QPPV-authorized roles,Scoped create,Controlled correction only,No routine deletion,QPPV authority,Prohibited unless approved PV route,Annual + reconciliation,QPPV,PENDING
PS-MGMT-BOARD,Board/shareholder/confidential management,Named board/secretariat roles,Corporate Secretary,Controlled update before approval,No routine deletion,Board/authorized body,Strictly approved,On membership change + annual,Corporate Secretary — TBC,PENDING
PS-MGMT-EXEC,Executive management records,Named executive roles,Executive Office,Controlled update,No routine deletion,CEO/authorized body,Strictly approved,On membership change + annual,Executive Office — TBC,PENDING
PS-MGMT-RESTRICTED,Restricted management records,Named management roles,Scoped owner,Controlled update,No routine deletion,Accountable owner,Owner-approved,Annual,Accountable Owner — TBC,PENDING
PS-OPS-STANDARD,Routine operational records,Entity/function members,Scoped create,Modify until completed; controlled correction afterward,Restricted by retention state,Process owner,Owner-approved and logged,Annual,Function Owner — TBC,PENDING
PS-FIN-RESTRICTED,"Finance, banking, payroll-finance and tax",Named finance roles,Scoped create,Controlled modification,Restricted,Finance authority — TBC,Strictly approved,Annual + role change,Finance Owner — TBC,PENDING
