Branch,Source Path,SHA-256,Disposition,Target Path,Held Reason / Evidence
GQMS domains 00-18,01_QMS/FRM/Draft/GMG-QMS-FRM-0023_v0.1_DRAFT_2026-07-18.xlsx,004ea2100d86f5ba947dac1623fc4affd488387a14c5f7eb8f1f53105c777cd6,PROMOTED,01_QMS/01_Controlled_Documents/FRM/Draft/GMG-QMS-FRM-0023_v0.1_DRAFT_2026-07-18.xlsx,
GQMS domains 00-18,04_PV/MAN/Annex/GMG-PV-MAN-0002-G_v0.4_DRAFT_2026-08-08.docx,01560718d931a5326eb6485bed33c9622bba3bce480770cdcd28f4d7d5b8df26,HELD,,NO TARGET TYPE FOLDER — MAN absent from v0.31 04_PV type set
GQMS domains 00-18,04_PV/MTX/Superseded_Retired/GMG-PV-MTX-0006_v0.2_DRAFT_2026-07-17.xlsx,018fe6a5c53f69a2c9b2b0f1215261b1d479d5a813342944f62720e98c150da1,HELD,,LIFECYCLE UNDETERMINED — in Superseded_Retired with no status token | likely: Superseded — GMG-PV-MTX-0006 exists at higher version v0.5
GQMS domains 00-18,04_PV/MAN/Superseded_Retired/GMG-PV-MAN-0001_v0.13_DRAFT_2026-07-21.docx,01d0d539329cc91d11dbc1f20997580dd05d14df21284a693acd56ae5bfed8d8,HELD,,NO TARGET TYPE FOLDER — MAN absent from v0.31 04_PV type set
GQMS domains 00-18,04_PV/MAN/Draft/GMG-PV-MAN-0001_v0.29_DRAFT_2026-08-07.docx,026965a9bcc98ac881920f534c81590e558264f9af557c89de1ee068263239c1,PROMOTED (v0.32 type addition),02_GQMS_Controlled_Repository/00_Group_Shared/04_PV/01_Controlled_Documents/MAN/Draft/GMG-PV-MAN-0001_v0.29_DRAFT_2026-08-07.docx,
GQMS domains 00-18,01_QMS/SOP/Superseded_Retired/GMG-QMS-SOP-0006_v0.6_DRAFT_2026-07-17.docx,028d0387dc872f21a32138701d0904886d035b01d9cf62f61f68de4b3e839189,HELD,,LIFECYCLE UNDETERMINED — in Superseded_Retired with no status token | likely: Superseded — GMG-QMS-SOP-0006 exists at higher version v0.8
GQMS domains 00-18,04_PV/AGR/Superseded_Retired/GMG-PV-AGR-0001_v0.4_DRAFT_2026-07-25.docx,031f3641ea52889f5119f20f446510577b393043814189d08727b2afae8008d5,HELD,,LIFECYCLE UNDETERMINED — in Superseded_Retired with no status token | likely: Superseded — GMG-PV-AGR-0001 exists at higher version v0.6
GQMS domains 00-18,04_PV/SOP/Draft/Superseded_Retired/GMG-PV-SOP-0008_v0.3_DRAFT_2026-08-05.docx,03b5f808ba0a73b2976b74ed892b1dba0e9f875809651ce7db5a1d9db8634ca9,PROMOTED,04_PV/01_Controlled_Documents/SOP/Draft/Superseded_Retired/GMG-PV-SOP-0008_v0.3_DRAFT_2026-08-05.docx,
GQMS domains 00-18,08_CSV/Di10-PV_Validation_2024-12/System Qualification.pdf,03d7ca7a70368b2d423c52227ad92e2ce15510d82a5ae32de7b638593ad1bb79,HELD,,NO TARGET TYPE FOLDER — Di10-PV_Validation_2024-12 absent from v0.31 08_CSV type set
GQMS domains 00-18,04_PV/SOP/Draft/Superseded_Retired/GMG-PV-SOP-0019_v0.3_DRAFT_2026-08-05.docx,04226abcb414b771abd5b4f4d86bdb8566d3f6eb3ac8a727632535ec9d5cb340,PROMOTED,04_PV/01_Controlled_Documents/SOP/Draft/Superseded_Retired/GMG-PV-SOP-0019_v0.3_DRAFT_2026-08-05.docx,
