Explicit Path,Level,Permission Profile,Entity,Technical Group,Scope Action,Atomic Profile,Owner Role
GMG_Enterprise_Repository/_README.txt,1,PS-ROOT-READ,GROUP,GMG-REPO-ROOT-READ-GRP,"BREAK INHERITANCE — apply explicitly. Control FILE, not a folder. Read for all authorised repository users; write restricted to Records Management.",YES,Records Management
GMG_Enterprise_Repository,0,PS-ROOT-GOVERNANCE,GROUP,GMG-REPO-ROOT-GOVERNANCE-GRP,BREAK INHERITANCE — apply explicitly,YES,Records Management / IT
GMG_Enterprise_Repository/00_Group_Repository_Control,1,PS-REPO-CONTROL,GROUP,GMG-REPO-REPO-CONTROL-GRP,BREAK INHERITANCE — apply explicitly,YES,Records Management / IT / QA Documentation
GMG_Enterprise_Repository/00_Group_Repository_Control/01_Repository_Governance,2,PS-REPO-CONTROL,GROUP,GMG-REPO-REPO-CONTROL-GRP,inherit from parent,YES,Records Management / IT / QA Documentation
GMG_Enterprise_Repository/00_Group_Repository_Control/02_Architecture_and_File_Plan,2,PS-REPO-CONTROL,GROUP,GMG-REPO-REPO-CONTROL-GRP,inherit from parent,YES,Records Management / IT / QA Documentation
GMG_Enterprise_Repository/00_Group_Repository_Control/03_Naming_and_Code_Registers,2,PS-REPO-CONTROL,GROUP,GMG-REPO-REPO-CONTROL-GRP,inherit from parent,YES,Records Management / IT / QA Documentation
GMG_Enterprise_Repository/00_Group_Repository_Control/04_Metadata_Classification_and_Retention,2,PS-REPO-CONTROL,GROUP,GMG-REPO-REPO-CONTROL-GRP,inherit from parent,YES,Records Management / IT / QA Documentation
GMG_Enterprise_Repository/00_Group_Repository_Control/05_Permission_Profiles_and_Access_Reviews,2,PS-REPO-CONTROL,GROUP,GMG-REPO-REPO-CONTROL-GRP,inherit from parent,YES,Records Management / IT / QA Documentation
GMG_Enterprise_Repository/00_Group_Repository_Control/06_Change_Control_Validation_and_UAT,2,PS-REPO-CONTROL,GROUP,GMG-REPO-REPO-CONTROL-GRP,inherit from parent,YES,Records Management / IT / QA Documentation
GMG_Enterprise_Repository/00_Group_Repository_Control/07_Migration_Cutover_and_Rollback_Controls,2,PS-REPO-CONTROL,GROUP,GMG-REPO-REPO-CONTROL-GRP,inherit from parent,YES,Records Management / IT / QA Documentation
GMG_Enterprise_Repository/00_Group_Repository_Control/08_Audit_Periodic_Review_and_KPIs,2,PS-REPO-CONTROL,GROUP,GMG-REPO-REPO-CONTROL-GRP,inherit from parent,YES,Records Management / IT / QA Documentation
GMG_Enterprise_Repository/00_Group_Repository_Control/09_README_and_Control_Templates,2,PS-REPO-CONTROL,GROUP,GMG-REPO-REPO-CONTROL-GRP,inherit from parent,YES,Records Management / IT / QA Documentation
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy,1,PS-MGMT-RESTRICTED,GROUP,GMG-REPO-MGMT-RESTRICTED-GRP,BREAK INHERITANCE — apply explicitly,YES,CEO / Corporate Secretary / Entity Management
